,season,task_episode,task_description,task_contestant,task_score
126,Series 6,Episode 5: H. (30 May 2018),Pull the tablecloth off the table. Most eggs left unbroken on the table wins.,Asim Chaudhry,5
127,Series 6,Episode 5: H. (30 May 2018),Pull the tablecloth off the table. Most eggs left unbroken on the table wins.,Liza Tarbuck,5
128,Series 6,Episode 5: H. (30 May 2018),Pull the tablecloth off the table. Most eggs left unbroken on the table wins.,Russell Howard,5
129,Series 6,Episode 5: H. (30 May 2018),Pull the tablecloth off the table. Most eggs left unbroken on the table wins.,Tim Vine,5
130,Series 6,Episode 5: H. (30 May 2018),"Team: Find the link, then do it exactly 100 times.",Alice Levine,3
131,Series 6,Episode 5: H. (30 May 2018),"Team: Find the link, then do it exactly 100 times.",Asim Chaudhry,5
132,Series 6,Episode 5: H. (30 May 2018),"Team: Find the link, then do it exactly 100 times.",Liza Tarbuck,5
133,Series 6,Episode 5: H. (30 May 2018),"Team: Find the link, then do it exactly 100 times.",Russell Howard,3
134,Series 6,Episode 5: H. (30 May 2018),"Team: Find the link, then do it exactly 100 times.",Tim Vine,5
135,Series 6,Episode 5: H. (30 May 2018),Pull off the most elaborate snooker trick shot.,Alice Levine,1
136,Series 6,Episode 5: H. (30 May 2018),Pull off the most elaborate snooker trick shot.,Asim Chaudhry,2
137,Series 6,Episode 5: H. (30 May 2018),Pull off the most elaborate snooker trick shot.,Liza Tarbuck,4
138,Series 6,Episode 5: H. (30 May 2018),Pull off the most elaborate snooker trick shot.,Russell Howard,3
139,Series 6,Episode 5: H. (30 May 2018),Pull off the most elaborate snooker trick shot.,Tim Vine,5
140,Series 6,Episode 5: H. (30 May 2018),Live: Throw as many eggs onto the shelf as possible whilst lying on a bed.,Alice Levine,1
141,Series 6,Episode 5: H. (30 May 2018),Live: Throw as many eggs onto the shelf as possible whilst lying on a bed.,Asim Chaudhry,2
142,Series 6,Episode 5: H. (30 May 2018),Live: Throw as many eggs onto the shelf as possible whilst lying on a bed.,Liza Tarbuck,5
143,Series 6,Episode 5: H. (30 May 2018),Live: Throw as many eggs onto the shelf as possible whilst lying on a bed.,Russell Howard,4
144,Series 6,Episode 5: H. (30 May 2018),Live: Throw as many eggs onto the shelf as possible whilst lying on a bed.,Tim Vine,4
145,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Prize: Best invention.,Alice Levine,1
146,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Prize: Best invention.,Asim Chaudhry,1
147,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Prize: Best invention.,Liza Tarbuck,3
148,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Prize: Best invention.,Russell Howard,1
149,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Prize: Best invention.,Tim Vine,5
150,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best snow globe.,Alice Levine,3
151,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best snow globe.,Asim Chaudhry,1
152,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best snow globe.,Liza Tarbuck,4
153,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best snow globe.,Russell Howard,5
154,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best snow globe.,Tim Vine,3
155,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Team: Knock over the most ducks in five minutes without leaving the red carpet.,Alice Levine,0
156,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Team: Knock over the most ducks in five minutes without leaving the red carpet.,Asim Chaudhry,5
157,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Team: Knock over the most ducks in five minutes without leaving the red carpet.,Liza Tarbuck,5
158,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Team: Knock over the most ducks in five minutes without leaving the red carpet.,Russell Howard,0
159,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Team: Knock over the most ducks in five minutes without leaving the red carpet.,Tim Vine,5
160,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the biggest announcement.,Alice Levine,2
161,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the biggest announcement.,Asim Chaudhry,5
162,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the biggest announcement.,Liza Tarbuck,2
163,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the biggest announcement.,Russell Howard,1
164,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the biggest announcement.,Tim Vine,4
165,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best parachute for a wooden spoon with a slow and dramatic descent.,Alice Levine,4
166,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best parachute for a wooden spoon with a slow and dramatic descent.,Asim Chaudhry,1
167,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best parachute for a wooden spoon with a slow and dramatic descent.,Liza Tarbuck,5
168,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best parachute for a wooden spoon with a slow and dramatic descent.,Russell Howard,2
169,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Make the best parachute for a wooden spoon with a slow and dramatic descent.,Tim Vine,3
170,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Live: Predict how many correct answers you can give in a chosen category.,Alice Levine,5
171,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Live: Predict how many correct answers you can give in a chosen category.,Asim Chaudhry,4
172,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Live: Predict how many correct answers you can give in a chosen category.,Liza Tarbuck,1
173,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Live: Predict how many correct answers you can give in a chosen category.,Russell Howard,3
174,Series 6,Episode 6: We met at mealtimes. (6 June 2018),Live: Predict how many correct answers you can give in a chosen category.,Tim Vine,3
175,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Prize: Scariest thing from the kitchen.,Alice Levine,2
176,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Prize: Scariest thing from the kitchen.,Asim Chaudhry,4
177,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Prize: Scariest thing from the kitchen.,Liza Tarbuck,3
178,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Prize: Scariest thing from the kitchen.,Russell Howard,5
179,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Prize: Scariest thing from the kitchen.,Tim Vine,1
180,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Knock the bails off of the stumps. You have a maximum of one over (six throws).,Alice Levine,0
181,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Knock the bails off of the stumps. You have a maximum of one over (six throws).,Asim Chaudhry,0
182,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Knock the bails off of the stumps. You have a maximum of one over (six throws).,Liza Tarbuck,0
183,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Knock the bails off of the stumps. You have a maximum of one over (six throws).,Russell Howard,5
184,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),Knock the bails off of the stumps. You have a maximum of one over (six throws).,Tim Vine,4
185,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),"Draw the best picture of the contents of the box, without opening or looking inside of it.",Alice Levine,4
186,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),"Draw the best picture of the contents of the box, without opening or looking inside of it.",Asim Chaudhry,1
187,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),"Draw the best picture of the contents of the box, without opening or looking inside of it.",Liza Tarbuck,5
188,Series 6,Episode 7: Roadkill doused in syrup. (13 June 2018),"Draw the best picture of the contents of the box, without opening or looking inside of it.",Russell Howard,1
